dico,concelho,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,mais_recente,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020
"0209","MÉRTOLA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0210","MOURA",,,,,,,,,,,,,,,,,,,"22","22","22","27","27","28","28","28","28","28","29","29","29","29","29","71","34","34","39","39","54","54","54","54","54","54","54","54","57","57","57","57","68","68","68","68","68","68","68","71","71","71","71","71","71","71","71","71","71","71","71","71","71","71","71",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0211","ODEMIRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3","11","3","3","3","3","4","4","4","4","4","4","4","6","6","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","8","8","9","9","10","9","10","11","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0212","OURIQUE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0213","SERPA",,,,,,,,,,"3","3","3","4","4","6","6","6","17","17","17","17","17","18","18","18","18","18","18","18","18","18","18","18","14","18","18","18","18","18","18","18","18","15","15","15","15","15","15","15","15","15","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14","14",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0214","VIDIGUEIRA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0301","AMARES",,,"6","7","8","9","9","11","13","17","17","17","18","18","19","19","21","24","25","26","28","28","30","33","33","33","34","35","38","39","41","43","44","78","45","45","45","45","43","43","44","50","51","51","53","53","68","68","68","68","68","68","68","72","72","72","72","72","72","78","78","78","78","78","78","78","78","78","78","78","78","78","78",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0302","BARCELOS","3","3","15","20","20","29","35","39","55","65","70","83","90","93","103","107","122","126","133","137","141","141","138","156","156","162","174","174","179","180","190","191","197","304","202","202","202","202","209","211","216","219","225","225","226","229","275","277","278","279","279","279","281","282","284","285","295","295","295","295","295","296","298","298","298","299","299","300","301","301","301","302","304",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0303","BRAGA","21","25","98","131","152","208","213","220","245","280","305","333","349","358","407","423","521","546","579","621","647","647","692","775","798","831","848","856","902","903","950","950","974","1228","1019","1019","1019","1019","1063","1079","1086","1105","1112","1113","1118","1130","1146","1149","1149","1152","1153","1153","1153","1153","1153","1153","1154","1173","1196","1199","1199","1206","1209","1209","1213","1213","1218","1224","1225","1225","1225","1225","1228",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0304","CABECEIRAS DE BASTO",,,,,,,,,,,,"4","5","5","5","5","4","6","7","8","8","10","11","10","10","11","12","12","10","10","10","10","11","18","15","15","15","15","17","17","17","17","16","16","16","16","15","15","15","15","15","15","15","15","15","15","15","15","16","16","16","17","17","17","18","18","18","18","18","18","18","18","18",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0305","CELORICO DE BASTO",,,,,,,,,"3","3","3","4","6","6","7","7","8","8","8","9","9","9","9","11","12","13","13","13","13","13","16","16","16","23","18","19","19","19","18","18","18","18","17","18","18","18","21","22","22","22","23","23","23","23","23","23","23","23","23","23","23","22","22","23","23","23","23","23","23","23","23","23","23",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0306","ESPOSENDE",,,"5","5","7","8","8","10","10","11","11","14","14","14","16","16","21","26","26","27","28","28","26","31","31","32","34","34","36","36","38","40","40","47","40","40","40","40","37","37","37","39","40","40","40","41","43","43","43","44","44","44","44","44","44","44","44","44","44","45","45","45","46","46","46","46","46","46","46","47","47","47","47",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0307","FAFE",,,"5","5","5","5","6","7","8","8","9","10","12","12","13","13","16","23","28","29","30","30","29","35","35","57","61","61","63","63","71","72","72","124","79","79","84","84","92","96","96","96","98","98","98","98","102","102","102","104","104","104","104","104","104","105","105","109","115","119","120","120","121","121","121","121","121","121","121","121","122","124","124",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0308","GUIMARÃES","15","17","41","51","51","70","75","81","89","99","105","120","127","131","147","149","161","174","189","201","214","219","236","262","277","388","398","401","419","419","458","460","486","720","507","507","507","507","583","609","613","613","617","622","624","637","647","657","659","661","663","666","668","668","671","673","676","682","695","699","700","701","707","707","710","710","713","713","714","714","716","720","720",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0309","PÓVOA DE LANHOSO",,,"4","7","7","12","12","14","17","17","17","21","21","21","23","23","25","25","27","28","29","29","25","31","32","33","33","33","32","32","35","35","39","61","42","44","44","44","50","51","51","52","57","57","57","57","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","58","61","61","61","61","61","61","61","61","61","61",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0310","TERRAS DE BOURO",,,,,,,,,,,,,"3","3","4","4","6","6","6","7","7","7","6","8","8","8","8","8","8","8","9","9","9","10","9","9","9","9","8","8","8","8","7","7","7","7","8","8","8","8","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0311","VIEIRA DO MINHO",,,,,,,"3","3","4","6","6","8","9","9","9","11","13","13","13","14","15","15","19","24","24","24","26","26","25","24","24","24","25","44","28","28","28","28","28","28","28","31","31","31","31","33","34","34","34","34","34","34","34","36","36","36","36","36","36","36","36","36","36","36","36","37","37","37","37","44","42","44","44",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0312","VILA NOVA DE FAMALICÃO","12","14","44","48","48","61","71","93","99","107","110","121","143","145","150","154","168","180","193","211","225","228","235","246","250","259","270","272","288","288","305","305","313","400","339","339","339","339","345","356","359","359","364","382","382","382","382","382","382","382","386","386","386","386","387","390","391","393","394","394","394","396","398","398","398","399","400","400","400","400","400","400","400",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0313","VILA VERDE",,,,"5","10","14","15","25","30","36","41","41","43","44","48","49","57","57","62","70","87","90","92","106","107","117","127","127","131","132","135","135","140","233","144","145","145","145","156","158","159","167","167","168","171","173","214","214","214","214","214","214","214","214","214","214","214","228","228","228","228","228","228","230","231","233","233","233","233","233","233","233","233",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0314","VIZELA",,,,"3","4","5","5","8","11","11","11","12","15","15","17","17","19","20","21","23","26","26","25","32","34","52","53","53","60","60","68","69","72","147","75","75","78","78","93","97","98","98","99","99","99","99","101","101","101","101","101","102","104","105","107","108","108","114","124","128","131","131","135","135","137","137","137","137","137","139","140","146","147",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0401","ALFÂNDEGA DA FÉ",,,,,,,,,,,,,,,,,,,,,,,"3","3","3","4","4","4","4","4","4","4","4","6","4","4","4","4","5","5","5","5","5","5","5","5","5","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0402","BRAGANÇA","4","4","19","20","25","38","44","48","49","52","53","52","64","65","71","71","76","75","82","84","85","86","87","88","89","91","94","94","98","98","99","99","99","121","101","101","101","101","108","109","111","111","111","111","113","115","116","116","116","116","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","119","120","121","121","121",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0403","CARRAZEDA DE ANSIÃES",,,,,"3","3","3","3","3","3","3","3","3","3","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","7","7","7","7","5","5","5","5","5","5","6","6","6","63","6","6","6","6","6","6","6","6","6","6","6","68","68","5","5","6","6","6","6","6","6","6","6","6","6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0404","FREIXO DE ESPADA À CINTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0405","MACEDO DE CAVALEIROS",,,"3","4","4","5","7","7","7","8","8","8","10","10","13","13","16","17","17","18","18","18","19","19","19","19","19","19","19","19","19","19","19","22","20","20","20","20","21","21","21","21","19","19","19","20","20","20","20","20","20","20","20","20","20","20","20","21","21","21","22","22","22","22","22","22","22","22","22","22","22","22","22",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0406","MIRANDA DO DOURO",,,,,,,,,,,,,,,,,"3","4","4","4","4","4","4","4","4","4","6","6","7","7","7","7","7","10","7","7","7","7","7","7","8","8","8","8","8","8","8","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0407","MIRANDELA","3","3","5","6","8","10","10","11","11","11","11","12","14","14","14","15","13","15","17","17","17","17","17","17","17","16","16","16","16","16","17","17","17","21","18","18","18","18","17","17","17","17","17","17","18","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","19","20","21","21","21","21","21","21","21","21","21","21","21",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0408","MOGADOURO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","3","3","3","3","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0409","TORRE DE MONCORVO",,,,"3","3",,"3",,,,,,"12","12","18","18","19","19","21","22","22","22","23","23","23","23","23","23","20","20","21","21","20","23","22","22","22","22","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23","23",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0410","VILA FLOR",,,,,,,,,,,,,"3","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0411","VIMIOSO",,,,,,"3","3","3","4","4","4","4","6","7","7","7","7","7","8","8","8","8","8","8","8","8","8","8","7","7","7","7","7","11","8","8","8","8","8","8","8","8","8","8","8","9","9","9","10","10","10","10","10","10","10","10","10","10","10","10","10","11","11","11","11","11","11","11","11","11","11","11","11",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0412","VINHAIS",,,,,,,,,,,"5","5","9","9","9","9","10","10","10","10","10","10","10","10","10","18","23","23","24","24","24","24","24","30","26","26","26","26","26","27","27","27","28","28","28","28","28","28","28","28","28","28","28","29","29","29","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30","30",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0501","BELMONTE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0502","CASTELO BRANCO",,,,,,,,,,,,,,,,,,,,,,,,"3","3","3","4","4","5","5","5","5","5","16","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","6","6","6","6","7","7","7","7","7","8","8","9","16","17","16","16",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0503","COVILHÃ",,,,,,,,,,,,,,,,"3","5","5","5","5","5","5","5","5","5","5","5","6","6","6","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7","7",,,,,,,,,,,,,,,,,,,,,,,,,,,
"0504","FUNDÃO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,"3","3","3","3","3","3","3","3","3","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5",,,,,,,,,,,,,,,,,,,,,,,,,,,
