country,state,city,ibgeID,deaths,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,date,newCases,newDeaths
Brazil,MG,Andradas,3102605,1,4,2.43445,9.73781,0.25000,SES,2020-05-29,0,0
Brazil,SP,Andradina,3502101,4,40,6.99827,69.98268,0.10000,SES,2020-05-29,0,0
Brazil,MG,Andrelândia,3102803,0,10,0.00000,81.80628,0.00000,SES,2020-05-29,0,0
Brazil,SP,Angatuba,3502200,2,19,7.92770,75.31314,0.10526,SES,2020-05-29,1,0
Brazil,PE,Angelim,2601003,0,2,0.00000,17.93722,0.00000,SES,2020-05-29,0,0
Brazil,PI,Angical do Piauí,2200608,0,5,0.00000,73.65940,0.00000,MS,2020-05-29,0,0
Brazil,TO,Angico,1701051,0,1,0.00000,29.12904,0.00000,MS,2020-05-29,0,0
Brazil,RN,Angicos,2400802,0,5,0.00000,42.68397,0.00000,MS,2020-05-29,0,0
Brazil,RJ,Angra dos Reis,3300100,30,685,14.72140,336.13858,0.04380,MS,2020-05-29,24,0
Brazil,BA,Anguera,2901502,0,13,0.00000,115.85420,0.00000,MS,2020-05-29,0,0
Brazil,GO,Anhanguera,5201207,0,1,0.00000,87.03220,0.00000,SES,2020-05-29,0,0
Brazil,SP,Anhembi,3502309,0,2,0.00000,29.74420,0.00000,SES,2020-05-29,0,0
Brazil,SP,Anhumas,3502408,0,2,0.00000,48.60267,0.00000,SES,2020-05-29,0,0
Brazil,GO,Anicuns,5201306,0,0,0.00000,0.00000,0.00000,SES,2020-05-29,0,0
Brazil,SC,Anita Garibaldi,4201000,0,2,0.00000,28.03869,0.00000,MS,2020-05-29,0,0
Brazil,AM,Anori,1300102,3,336,14.27891,1599.23846,0.00893,MS,2020-05-29,10,0
Brazil,RS,Anta Gorda,4300703,0,5,0.00000,83.59806,0.00000,SES,2020-05-29,0,0
Brazil,CE,Antonina do Norte,2300804,0,2,0.00000,27.19978,0.00000,MS,2020-05-29,0,0
Brazil,BA,Antônio Cardoso,2901700,0,2,0.00000,17.11889,0.00000,MS,2020-05-29,0,0
Brazil,SC,Antônio Carlos,4201208,4,17,46.98696,199.69458,0.23529,MS,2020-05-29,0,0
